"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.raiser.benchmark.client.ClientBenchmark.createUser","thrpt",32,3,41.510991,2.507246,"ops/ms"
"com.raiser.benchmark.client.ClientBenchmark.existUser","thrpt",32,3,42.664593,3.307837,"ops/ms"
"com.raiser.benchmark.client.ClientBenchmark.getUser","thrpt",32,3,41.402032,4.207067,"ops/ms"
"com.raiser.benchmark.client.ClientBenchmark.listUser","thrpt",32,3,34.383818,1.014214,"ops/ms"
"com.raiser.benchmark.client.ClientBenchmark.createUser","avgt",32,3,0.769638,0.145933,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.existUser","avgt",32,3,0.743938,0.053889,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.getUser","avgt",32,3,0.768020,0.006136,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.listUser","avgt",32,3,0.929863,0.026542,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.createUser","sample",32,1271834,0.754614,0.001603,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.createUser:createUser·p0.00","sample",32,1,0.098944,NaN,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.createUser:createUser·p0.50","sample",32,1,0.687104,NaN,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.createUser:createUser·p0.90","sample",32,1,1.081344,NaN,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.createUser:createUser·p0.95","sample",32,1,1.306624,NaN,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.createUser:createUser·p0.99","sample",32,1,2.004992,NaN,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.createUser:createUser·p0.999","sample",32,1,5.513216,NaN,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.createUser:createUser·p0.9999","sample",32,1,28.344320,NaN,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.createUser:createUser·p1.00","sample",32,1,30.998528,NaN,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.existUser","sample",32,1286919,0.745475,0.001584,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.existUser:existUser·p0.00","sample",32,1,0.096384,NaN,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.existUser:existUser·p0.50","sample",32,1,0.685056,NaN,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.existUser:existUser·p0.90","sample",32,1,1.067008,NaN,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.existUser:existUser·p0.95","sample",32,1,1.265664,NaN,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.existUser:existUser·p0.99","sample",32,1,1.964032,NaN,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.existUser:existUser·p0.999","sample",32,1,4.612751,NaN,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.existUser:existUser·p0.9999","sample",32,1,28.518253,NaN,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.existUser:existUser·p1.00","sample",32,1,33.193984,NaN,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.getUser","sample",32,1228222,0.781359,0.001908,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.getUser:getUser·p0.00","sample",32,1,0.098816,NaN,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.getUser:getUser·p0.50","sample",32,1,0.705536,NaN,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.getUser:getUser·p0.90","sample",32,1,1.142784,NaN,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.getUser:getUser·p0.95","sample",32,1,1.386496,NaN,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.getUser:getUser·p0.99","sample",32,1,2.125824,NaN,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.getUser:getUser·p0.999","sample",32,1,9.977856,NaN,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.getUser:getUser·p0.9999","sample",32,1,28.377088,NaN,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.getUser:getUser·p1.00","sample",32,1,44.236800,NaN,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.listUser","sample",32,1035200,0.927245,0.002076,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.listUser:listUser·p0.00","sample",32,1,0.132352,NaN,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.listUser:listUser·p0.50","sample",32,1,0.806912,NaN,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.listUser:listUser·p0.90","sample",32,1,1.550336,NaN,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.listUser:listUser·p0.95","sample",32,1,1.884160,NaN,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.listUser:listUser·p0.99","sample",32,1,2.531328,NaN,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.listUser:listUser·p0.999","sample",32,1,4.659601,NaN,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.listUser:listUser·p0.9999","sample",32,1,27.885568,NaN,"ms/op"
"com.raiser.benchmark.client.ClientBenchmark.listUser:listUser·p1.00","sample",32,1,32.571392,NaN,"ms/op"
